FECHA,Registro_mp2_5
2015-08-16,128.915
2015-08-17,42.6737
2015-08-18,40.3654
2015-08-19,68.7332
2015-08-20,49.2474
2015-08-21,37.1874
2015-08-22,37.7423
2015-08-23,36.1824
2015-08-24,25.9117
2015-08-25,24.3362
2015-08-26,28.8106
2015-08-27,27.5015
2015-08-28,20.8038
2015-08-29,52.6766
2015-08-30,50.3337
2015-08-31,30.3675
2015-09-01,70.1074
2015-09-02,57.8752
2015-09-03,48.3559
2015-09-04,93.0514
2015-09-05,56.4521
2015-09-06,34.9512
2015-09-07,28.12
2015-09-08,60.7305
2015-09-09,67.9607
2015-09-10,62.5287
2015-09-11,75.036
2015-09-12,70.3337
2015-09-13,100.706
2015-09-14,64.7395
2015-09-15,59.4663
2015-09-16,96.1135
2015-09-17,93.525
2015-09-18,83.3099
2015-09-19,80.6292
2015-09-20,45.024
2015-09-21,50.5191
2015-09-22,66.4624
2015-09-23,42.5928
2015-09-24,24.336
2015-09-25,35.0627
2015-09-26,38.387
2015-09-27,23.6168
2015-09-28,29.4117
2015-09-29,56.2699
2015-09-30,57.8441
2015-10-01,21.4299
2015-10-02,18.4312
2015-10-03,22.6925
2015-10-04,15.4952
2015-10-05,16.2049
2015-10-06,17.5135
2015-10-07,23.7749
2015-10-08,49.3138
2015-10-09,32.7272
2015-10-10,10.1826
2015-10-11,25.6735
2015-10-12,28.4491
2015-10-13,40.3452
2015-10-14,25.7905
2015-10-15,23.4683
2015-10-16,45.2015
2015-10-17,34.4099
2015-10-18,9.8577
2015-10-19,11.2494
2015-10-20,13.3785
2015-10-21,21.1968
2015-10-22,19.2533
2015-10-23,18.9637
2015-10-24,16.7916
2015-10-25,17.0277
2015-10-26,17.7223
2015-10-27,20.8889
2015-10-28,14.3371
2015-10-29,20.2272
2015-10-30,12.6277
2015-10-31,10.2285
2015-11-01,8.28658
2015-11-02,11.0047
2015-11-03,12.2935
2015-11-04,15.1922
2015-11-05,9.63794
2015-11-06,8.71941
2015-11-07,7.00312
2015-11-08,10.284
2015-11-09,8.84268
2015-11-10,7.04462
2015-11-11,11.6857
2015-11-12,9.5999
2015-11-13,5.88591
2015-11-14,6.16153
2015-11-15,3.0705
